# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.93
4                      10.04
8                      20.29
16                     41.15
32                     82.26
64                    164.68
128                   326.18
256                   643.34
