# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.33
4                       8.83
8                      17.65
16                     35.28
32                     70.77
64                    140.00
128                   275.88
256                   556.82
