# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.92
4                      10.21
8                      20.40
16                     39.86
32                     79.68
64                    161.39
128                   320.99
256                   643.34
