# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                      17.27
4                      34.15
8                      67.73
16                    128.92
32                    259.06
64                    518.28
128                  1059.25
256                  1924.50
