# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                      14.22        7107994.76
4                      29.17        7292321.97
8                      58.03        7253126.32
16                    116.38        7273617.39
32                    227.15        7098424.73
64                    445.63        6963027.03
128                   853.89        6670994.49
256                  1644.10        6422251.63
