# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       8.24
4                      16.40
8                      32.69
16                     65.56
32                    130.28
64                    256.53
128                   484.96
256                   964.27
