# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                      17.28
4                      34.18
8                      68.27
16                    136.66
32                    272.04
64                    544.13
128                  1070.82
256                  1971.11
