# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                       7.14        3567586.82
4                      14.24        3560015.99
8                      28.47        3558164.41
16                     57.11        3569636.32
32                    115.56        3611330.28
64                    227.84        3559928.62
128                   442.59        3457719.96
256                   855.42        3341498.49
