# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                       7.12        3561673.92
4                      14.27        3567038.58
8                      28.42        3552932.95
16                     57.14        3571161.88
32                    115.95        3623450.83
64                    228.42        3569060.44
128                   441.12        3446246.21
256                   856.24        3344676.72
