# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.62
4                      33.21
8                      67.05
16                    132.57
32                    275.26
64                    551.48
128                   947.15
256                  1803.71
512                  2976.65
1024                 5571.91
2048                 9076.65
4096                 8249.35
8192                13407.01
16384               21835.91
32768               28426.77
65536               31810.65
131072              33404.83
262144              34359.82
524288              35935.36
1048576             35160.48
2097152             35456.73
4194304             35240.51
