# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.29
128                     0.33
256                     0.30
512                     0.37
1024                    0.39
2048                    0.47
4096                    1.06
8192                    1.32
16384                   1.87
32768                   2.97
65536                   4.56
131072                  7.29
262144                 14.10
524288                 28.40
1048576                56.33
2097152               118.35
4194304               264.52
