# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.30
16                      0.28
32                      0.29
64                      0.31
128                     0.31
256                     0.31
512                     0.39
1024                    0.38
2048                    0.45
4096                    1.05
8192                    1.30
16384                   1.87
32768                   2.92
65536                   4.34
131072                  7.17
262144                 13.73
524288                 28.07
1048576                55.85
2097152               117.75
4194304               263.51
