# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.72        4721287.99
2                       9.83        4914120.37
4                      19.82        4954177.34
8                      39.55        4943262.55
16                     79.74        4983728.13
32                    158.45        4951581.66
64                    302.04        4719322.36
128                   568.51        4441513.05
256                  1122.63        4385271.00
512                  1833.42        3580897.17
1024                 3479.98        3398421.06
2048                 6126.27        2991341.79
4096                 5665.27        1383122.25
8192                10028.70        1224206.61
16384               16191.21         988233.14
32768               22369.61         682666.33
65536               25833.60         394189.52
131072              27755.11         211754.65
262144              28155.19         107403.53
524288              28522.81          54402.94
1048576             31775.17          30303.16
2097152             28771.39          13719.27
4194304             28731.27           6850.07
