# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.84        4839862.93
2                       9.80        4901628.90
4                      19.74        4934889.15
8                      39.51        4939366.19
16                     78.50        4906176.65
32                    157.43        4919646.04
64                    301.07        4704215.12
128                   579.27        4525549.84
256                  1126.30        4399614.21
512                  1824.51        3563489.07
1024                 3538.97        3456026.97
2048                 6276.27        3064582.53
4096                 5571.73        1360286.39
8192                 9518.03        1161869.27
16384               15720.21         959485.18
32768               22449.18         685094.50
65536               25632.40         391119.34
131072              27483.48         209682.32
262144              29455.66         112364.44
524288              30591.60          58348.84
1048576             31464.88          30007.25
2097152             28766.66          13717.01
4194304             28659.26           6832.90
