# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.50
2                      10.93
4                      22.18
8                      43.93
16                     87.94
32                    175.46
64                    352.13
128                   687.52
256                  1365.47
512                  1798.27
1024                 3572.89
2048                 6434.77
4096                 5669.36
8192                 9987.39
16384               16249.82
32768               23310.52
65536               26098.56
131072              28047.72
262144              28397.65
524288              28805.90
1048576             28980.42
2097152             29177.35
4194304             29095.43
