# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.59
4                      33.06
8                      66.89
16                    134.90
32                    275.66
64                    551.42
128                   942.97
256                  1808.36
512                  2985.71
1024                 5585.80
2048                 9008.88
4096                 8236.44
8192                13401.11
16384               21977.27
32768               28524.54
65536               32036.87
131072              34062.59
262144              34912.13
524288              36197.65
1048576             36629.36
2097152             36981.60
4194304             35141.21
