# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.84
2                      17.38
4                      33.30
8                      66.66
16                    133.40
32                    274.39
64                    549.50
128                   944.55
256                  1897.36
512                  2997.03
1024                 5554.19
2048                 9046.99
4096                 8238.36
8192                13331.32
16384               21759.81
32768               28362.70
65536               31998.16
131072              33255.45
262144              35383.59
524288              34923.63
1048576             35278.99
2097152             35289.58
4194304             35201.30
