# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.27
8                       0.28
16                      0.31
32                      0.29
64                      0.28
128                     0.32
256                     0.32
512                     0.37
1024                    0.39
2048                    0.45
4096                    1.01
8192                    1.30
16384                   1.84
32768                   2.88
65536                   4.38
131072                  7.21
262144                 14.11
524288                 28.10
1048576                55.79
2097152               117.32
4194304               262.38
