# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.81
2                      17.48
4                      33.15
8                      67.41
16                    135.37
32                    275.15
64                    549.47
128                   944.55
256                  1809.00
512                  2976.62
1024                 5576.06
2048                 9023.44
4096                 8285.19
8192                13562.13
16384               21966.66
32768               28455.30
65536               32010.90
131072              33331.89
262144              34354.56
524288              34941.49
1048576             35150.85
2097152             35405.87
4194304             35231.50
