# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.30
4                       0.28
8                       0.28
16                      0.28
32                      0.31
64                      0.28
128                     0.31
256                     0.30
512                     0.36
1024                    0.39
2048                    0.45
4096                    1.02
8192                    1.29
16384                   1.83
32768                   2.91
65536                   4.41
131072                  7.12
262144                 13.92
524288                 28.16
1048576                56.09
2097152               117.90
4194304               265.89
