# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      10.95
4                      22.08
8                      44.23
16                     88.80
32                    177.33
64                    351.77
128                   688.04
256                  1363.29
512                  1795.46
1024                 3573.54
2048                 6341.34
4096                 5510.84
8192                 9271.81
16384               15646.42
32768               22134.13
65536               26085.09
131072              28137.53
262144              28459.72
524288              28818.13
1048576             29072.25
2097152             29215.26
4194304             29116.38
