# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.29
8                       0.27
16                      0.30
32                      0.28
64                      0.28
128                     0.28
256                     0.31
512                     0.32
1024                    0.34
2048                    0.39
4096                    0.80
8192                    1.09
16384                   1.61
32768                   2.67
65536                   4.04
131072                  6.75
262144                 12.84
524288                 25.52
1048576                49.92
2097152               104.58
4194304               276.14
