# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.81
2                      17.71
4                      32.91
8                      66.24
16                    135.41
32                    276.28
64                    546.52
128                   936.77
256                  1796.14
512                  2977.21
1024                 5576.11
2048                 9013.30
4096                 8211.55
8192                13305.79
16384               21829.51
32768               28420.56
65536               31948.59
131072              33348.24
262144              34184.66
524288              34974.09
1048576             36330.13
2097152             36582.11
4194304             35259.91
