# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.28
8                       0.29
16                      0.27
32                      0.27
64                      0.27
128                     0.27
256                     0.31
512                     0.33
1024                    0.32
2048                    0.38
4096                    0.79
8192                    1.11
16384                   1.66
32768                   2.74
65536                   4.13
131072                  6.65
262144                 12.66
524288                 25.23
1048576                49.61
2097152               103.25
4194304               271.80
