# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.28
8                       0.27
16                      0.28
32                      0.27
64                      0.27
128                     0.28
256                     0.31
512                     0.31
1024                    0.33
2048                    0.41
4096                    0.79
8192                    1.10
16384                   1.67
32768                   2.74
65536                   4.15
131072                  6.59
262144                 12.58
524288                 25.32
1048576                49.28
2097152               104.99
4194304               272.59
