# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.42
2                      10.97
4                      22.05
8                      44.21
16                     87.72
32                    175.93
64                    350.68
128                   689.52
256                  1378.93
512                  1800.22
1024                 3543.86
2048                 6304.22
4096                 5730.26
8192                10145.62
16384               16418.26
32768               23324.10
65536               26693.84
131072              27954.22
262144              28407.00
524288              29119.95
1048576             31251.07
2097152             29684.58
4194304             29191.16
