# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.86
2                      17.65
4                      32.88
8                      66.53
16                    133.19
32                    269.70
64                    546.16
128                   943.13
256                  1795.60
512                  2990.09
1024                 5622.13
2048                 9028.72
4096                 8290.80
8192                13288.37
16384               21946.79
32768               28370.48
65536               32007.21
131072              33491.36
262144              34962.15
524288              36230.47
1048576             36665.47
2097152             36932.75
4194304             35162.34
