# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.89
2                      17.69
4                      33.88
8                      68.28
16                    133.38
32                    272.68
64                    555.34
128                  1004.86
256                  1806.16
512                  2977.99
1024                 5559.52
2048                 9061.57
4096                 8245.10
8192                13453.60
16384               21930.24
32768               28555.46
65536               32032.21
131072              33438.55
262144              34366.21
524288              34958.25
1048576             35152.29
2097152             35427.90
4194304             35417.49
