# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.73        4730258.49
2                       9.56        4781268.54
4                      19.31        4826572.21
8                      38.42        4802367.21
16                     76.92        4807666.30
32                    153.87        4808440.38
64                    297.21        4643929.60
128                   560.87        4381785.22
256                  1110.58        4338207.17
512                  1787.71        3491617.25
1024                 3430.16        3349767.43
2048                 6033.89        2946235.03
4096                 5625.88        1373505.98
8192                 9875.39        1205491.53
16384               16081.52         981538.32
32768               22443.42         684918.68
65536               25841.59         394311.30
131072              27712.25         211427.69
262144              28053.04         107013.84
524288              28493.38          54346.81
1048576             31784.40          30311.96
2097152             28769.21          13718.23
4194304             28714.93           6846.17
