# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.30
16                      0.29
32                      0.28
64                      0.31
128                     0.33
256                     0.30
512                     0.37
1024                    0.39
2048                    0.47
4096                    1.05
8192                    1.32
16384                   1.84
32768                   2.93
65536                   4.44
131072                  7.47
262144                 14.32
524288                 28.36
1048576                56.16
2097152               118.08
4194304               262.56
