# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.83        7829896.48
2                      15.61        7805274.98
4                      30.83        7707549.56
8                      63.02        7876961.86
16                    118.81        7425793.98
32                    252.58        7893196.18
64                    502.09        7845206.24
128                   973.22        7603252.77
256                  1767.64        6904840.51
512                  3069.36        5994836.57
1024                 5841.65        5704735.38
2048                 9280.64        4531562.80
4096                 8378.15        2045447.22
8192                13565.93        1655996.79
16384               21996.13        1342537.46
32768               28327.94         864500.15
65536               31708.07         483826.72
131072              33314.91         254172.57
262144              34649.76         132178.34
524288              36531.12          69677.58
1048576             36900.12          35190.69
2097152             36763.14          17530.03
4194304             35198.91           8392.07
