# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.46
2                      10.91
4                      21.98
8                      44.20
16                     88.03
32                    175.83
64                    351.22
128                   688.35
256                  1368.71
512                  1791.90
1024                 3576.96
2048                 6396.02
4096                 5662.92
8192                 9888.58
16384               16160.55
32768               21832.62
65536               26007.04
131072              27992.83
262144              28456.30
524288              28827.75
1048576             29054.29
2097152             29111.04
4194304             29092.36
