# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.47
2                      10.99
4                      22.05
8                      44.00
16                     88.13
32                    175.28
64                    353.23
128                   696.66
256                  1387.28
512                  1803.00
1024                 3579.44
2048                 6331.36
4096                 5626.08
8192                 9862.21
16384               16148.15
32768               23458.99
65536               26373.05
131072              27929.50
262144              28437.95
524288              30159.52
1048576             28955.66
2097152             29106.70
4194304             29045.13
