# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.78
4                      33.51
8                      66.42
16                    133.43
32                    271.04
64                    552.25
128                   951.36
256                  1816.94
512                  2957.41
1024                 5608.59
2048                 9089.53
4096                 8337.01
8192                13494.44
16384               21808.14
32768               28415.06
65536               32037.83
131072              33381.09
262144              34353.67
524288              34960.31
1048576             35316.31
2097152             35469.59
4194304             35246.94
