# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.30
16                      0.28
32                      0.28
64                      0.33
128                     0.34
256                     0.30
512                     0.37
1024                    0.40
2048                    0.46
4096                    1.05
8192                    1.32
16384                   1.87
32768                   2.97
65536                   4.55
131072                  7.46
262144                 14.16
524288                 28.19
1048576                56.10
2097152               117.97
4194304               262.28
