# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.77        4770602.59
2                       9.57        4787371.15
4                      19.20        4800755.16
8                      38.74        4842541.73
16                     77.87        4866916.45
32                    153.31        4791024.85
64                    291.85        4560084.71
128                   556.79        4349928.06
256                  1098.05        4289256.18
512                  1791.24        3498524.74
1024                 3416.10        3336035.00
2048                 6034.49        2946526.26
4096                 5606.26        1368716.65
8192                 9776.87        1193465.96
16384               15964.08         974369.94
32768               22321.00         681182.96
65536               25750.95         392928.30
131072              27702.12         211350.38
262144              28007.79         106841.23
524288              28444.28          54253.17
1048576             28627.33          27301.15
2097152             28700.52          13685.48
4194304             28713.39           6845.81
