# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.27
8                       0.29
16                      0.27
32                      0.27
64                      0.29
128                     0.28
256                     0.30
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.78
8192                    1.09
16384                   1.67
32768                   2.74
65536                   4.11
131072                  6.61
262144                 12.61
524288                 25.17
1048576                49.45
2097152               103.83
4194304               269.30
