# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      10.98
4                      22.05
8                      43.88
16                     87.56
32                    175.37
64                    354.48
128                   694.89
256                  1362.81
512                  1794.29
1024                 3570.07
2048                 6375.11
4096                 5687.21
8192                10109.84
16384               16433.11
32768               21484.30
65536               26065.62
131072              28044.08
262144              28462.53
524288              28844.51
1048576             29050.01
2097152             29160.41
4194304             29087.65
