# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.26
4                       0.27
8                       0.27
16                      0.28
32                      0.26
64                      0.26
128                     0.28
256                     0.30
512                     0.32
1024                    0.32
2048                    0.40
4096                    0.79
8192                    1.09
16384                   1.66
32768                   2.74
65536                   3.85
131072                  6.41
262144                 12.69
524288                 25.22
1048576                49.30
2097152               102.66
4194304               272.63
