# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.31
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.31
256                     0.31
512                     0.37
1024                    0.41
2048                    0.45
4096                    1.03
8192                    1.28
16384                   1.84
32768                   2.92
65536                   4.37
131072                  7.08
262144                 14.06
524288                 28.36
1048576                56.10
2097152               117.79
4194304               263.08
