# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.74        4744094.64
2                       9.51        4752890.89
4                      19.24        4808972.58
8                      38.65        4831278.18
16                     77.83        4864549.66
32                    152.05        4751449.45
64                    295.35        4614901.27
128                   559.13        4368205.61
256                  1090.22        4258686.74
512                  1789.77        3495652.31
1024                 3466.46        3385216.90
2048                 5993.30        2926417.56
4096                 5535.67        1351481.13
8192                 9562.56        1167305.03
16384               15866.82         968433.72
32768               22309.18         680822.27
65536               25867.61         394708.36
131072              27647.70         210935.23
262144              29486.51         112482.13
524288              30442.49          58064.44
1048576             31706.54          30237.71
2097152             28669.00          13670.45
4194304             28651.29           6831.00
