# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.68
4                      33.34
8                      66.81
16                    133.63
32                    274.13
64                    549.40
128                   947.33
256                  1813.90
512                  2985.20
1024                 5567.74
2048                 9036.80
4096                 8281.29
8192                13441.79
16384               21939.28
32768               28501.55
65536               32015.81
131072              33396.33
262144              34631.61
524288              36472.91
1048576             36581.71
2097152             36956.35
4194304             35062.84
