# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.78        4782680.96
2                       9.64        4821080.66
4                      19.25        4811296.80
8                      38.72        4839781.67
16                     77.97        4873329.23
32                    153.72        4803661.95
64                    297.83        4653550.10
128                   566.50        4425746.28
256                  1106.72        4323122.61
512                  1793.26        3502453.11
1024                 3420.79        3340618.32
2048                 6030.19        2944431.04
4096                 5514.27        1346256.75
8192                 9387.64        1145951.77
16384               15649.69         955181.41
32768               22604.65         689839.14
65536               25872.87         394788.73
131072              27684.80         211218.28
262144              28088.51         107149.15
524288              28368.56          54108.73
1048576             30001.81          28611.96
2097152             28767.15          13717.25
4194304             28689.98           6840.22
