# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.78        7782084.13
2                      15.01        7507259.17
4                      31.14        7783832.27
8                      62.20        7774761.28
16                    116.46        7278473.13
32                    243.27        7602248.46
64                    473.13        7392624.72
128                   923.73        7216641.67
256                  1724.59        6736696.73
512                  3047.29        5951733.86
1024                 5779.96        5644492.57
2048                 9581.57        4678500.06
4096                 8315.36        2030116.07
8192                13521.72        1650600.14
16384               22506.04        1373659.87
32768               28199.71         860586.95
65536               31576.39         481817.42
131072              33320.59         254215.95
262144              35258.58         134500.82
524288              36395.40          69418.72
1048576             36934.47          35223.46
2097152             37098.99          17690.18
4194304             35277.46           8410.80
