# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.74        4738636.08
2                       9.57        4786254.83
4                      19.34        4834787.02
8                      38.89        4860866.06
16                     77.13        4820848.60
32                    155.19        4849636.64
64                    296.73        4636399.09
128                   560.93        4382278.48
256                  1096.37        4282706.26
512                  1790.86        3497763.95
1024                 3421.13        3340944.95
2048                 5938.28        2899552.57
4096                 5459.60        1332910.55
8192                 9198.81        1122901.75
16384               15601.46         952237.34
32768               22532.90         687649.68
65536               25856.47         394538.46
131072              27722.03         211502.28
262144              28106.14         107216.41
524288              28436.49          54238.29
1048576             31754.77          30283.71
2097152             28756.43          13712.13
4194304             28699.68           6842.54
