# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.30
16                      0.30
32                      0.29
64                      0.30
128                     0.32
256                     0.30
512                     0.38
1024                    0.39
2048                    0.46
4096                    1.06
8192                    1.31
16384                   1.85
32768                   2.94
65536                   4.45
131072                  7.16
262144                 14.15
524288                 28.31
1048576                55.96
2097152               117.69
4194304               261.48
