# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.29
8                       0.29
16                      0.31
32                      0.31
64                      0.28
128                     0.31
256                     0.31
512                     0.38
1024                    0.41
2048                    0.45
4096                    1.03
8192                    1.31
16384                   1.88
32768                   2.99
65536                   4.51
131072                  7.44
262144                 14.13
524288                 28.34
1048576                56.27
2097152               118.40
4194304               261.49
