# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.47
2                      10.99
4                      22.20
8                      44.05
16                     88.14
32                    176.22
64                    351.99
128                   688.72
256                  1385.93
512                  1802.14
1024                 3532.26
2048                 6211.47
4096                 5486.11
8192                 9244.16
16384               15643.57
32768               23399.73
65536               26712.61
131072              29413.66
262144              28544.93
524288              28809.61
1048576             28990.49
2097152             29166.99
4194304             29069.80
