# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.32
128                     0.31
256                     0.29
512                     0.38
1024                    0.40
2048                    0.46
4096                    1.03
8192                    1.28
16384                   1.84
32768                   2.92
65536                   4.46
131072                  7.21
262144                 13.98
524288                 28.18
1048576                55.98
2097152               117.97
4194304               262.07
