# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.29
16                      0.32
32                      0.28
64                      0.30
128                     0.34
256                     0.33
512                     0.37
1024                    0.39
2048                    0.46
4096                    1.05
8192                    1.33
16384                   1.86
32768                   2.93
65536                   4.43
131072                  7.16
262144                 14.23
524288                 28.27
1048576                56.30
2097152               118.68
4194304               261.23
