# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.27
8                       0.29
16                      0.28
32                      0.28
64                      0.31
128                     0.31
256                     0.31
512                     0.38
1024                    0.39
2048                    0.46
4096                    1.02
8192                    1.30
16384                   1.86
32768                   2.93
65536                   4.43
131072                  7.23
262144                 14.23
524288                 28.21
1048576                56.36
2097152               118.92
4194304               265.91
