# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.76
2                      17.69
4                      33.09
8                      66.47
16                    133.02
32                    275.32
64                    547.46
128                   942.89
256                  1830.05
512                  2979.83
1024                 5569.18
2048                 9065.21
4096                 8162.16
8192                13282.62
16384               21945.90
32768               28410.08
65536               31869.18
131072              33313.94
262144              34213.87
524288              34674.14
1048576             34987.56
2097152             35139.24
4194304             34937.40
