# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.28
8                       0.28
16                      0.29
32                      0.28
64                      0.28
128                     0.34
256                     0.30
512                     0.37
1024                    0.39
2048                    0.45
4096                    1.02
8192                    1.28
16384                   1.84
32768                   2.91
65536                   4.46
131072                  7.47
262144                 14.21
524288                 28.28
1048576                56.08
2097152               117.93
4194304               261.43
