# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.50
2                      10.96
4                      22.12
8                      44.13
16                     87.96
32                    176.20
64                    352.05
128                   690.97
256                  1384.04
512                  1798.56
1024                 3582.43
2048                 6334.58
4096                 5519.72
8192                 9270.35
16384               15683.92
32768               23362.23
65536               26724.60
131072              28049.56
262144              28464.59
524288              28822.36
1048576             28980.01
2097152             29108.42
4194304             29117.92
