# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.56
4                      32.95
8                      66.57
16                    134.30
32                    272.87
64                    552.93
128                   942.63
256                  1817.57
512                  2985.30
1024                 5582.03
2048                 9056.23
4096                 8251.01
8192                13381.46
16384               21896.10
32768               28444.10
65536               31814.91
131072              34054.12
262144              34247.59
524288              34807.41
1048576             35143.32
2097152             35386.98
4194304             35216.39
