# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.29
8                       0.27
16                      0.28
32                      0.29
64                      0.28
128                     0.30
256                     0.30
512                     0.30
1024                    0.32
2048                    0.39
4096                    0.80
8192                    1.10
16384                   1.61
32768                   2.65
65536                   4.05
131072                  6.70
262144                 11.98
524288                 25.39
1048576                49.60
2097152               103.14
4194304               276.16
