# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.29
8                       0.27
16                      0.27
32                      0.29
64                      0.27
128                     0.29
256                     0.30
512                     0.31
1024                    0.32
2048                    0.41
4096                    0.77
8192                    1.10
16384                   1.68
32768                   2.74
65536                   4.02
131072                  6.53
262144                 12.68
524288                 25.30
1048576                49.50
2097152               103.08
4194304               276.05
