# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.67
4                      32.89
8                      66.38
16                    133.35
32                    276.20
64                    544.67
128                   946.97
256                  1808.68
512                  2991.92
1024                 5573.82
2048                 9040.70
4096                 8286.72
8192                13320.65
16384               21938.99
32768               28481.50
65536               32015.88
131072              33401.91
262144              34345.44
524288              34817.19
1048576             35103.99
2097152             35411.96
4194304             35182.06
