# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.31
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.32
256                     0.32
512                     0.37
1024                    0.39
2048                    0.46
4096                    1.04
8192                    1.30
16384                   1.87
32768                   2.95
65536                   4.53
131072                  7.50
262144                 14.31
524288                 28.43
1048576                56.23
2097152               118.22
4194304               262.55
