# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.74
2                      17.67
4                      32.82
8                      67.47
16                    136.75
32                    273.24
64                    554.22
128                   941.81
256                  1809.03
512                  2970.78
1024                 5574.50
2048                 9091.94
4096                 8238.79
8192                13357.33
16384               21887.13
32768               28568.22
65536               31839.97
131072              33454.73
262144              34266.95
524288              34827.57
1048576             36270.73
2097152             35346.65
4194304             35282.27
