# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.30
4                       0.28
8                       0.30
16                      0.28
32                      0.28
64                      0.30
128                     0.32
256                     0.32
512                     0.37
1024                    0.39
2048                    0.45
4096                    1.03
8192                    1.28
16384                   1.84
32768                   2.88
65536                   4.39
131072                  7.12
262144                 13.89
524288                 28.19
1048576                55.91
2097152               118.18
4194304               262.54
