# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.28
8                       0.27
16                      0.27
32                      0.28
64                      0.26
128                     0.29
256                     0.29
512                     0.30
1024                    0.34
2048                    0.41
4096                    0.78
8192                    1.09
16384                   1.68
32768                   2.73
65536                   4.16
131072                  6.35
262144                 12.67
524288                 25.47
1048576                49.71
2097152               103.48
4194304               273.64
