# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.27
8                       0.29
16                      0.27
32                      0.27
64                      0.27
128                     0.27
256                     0.30
512                     0.31
1024                    0.33
2048                    0.39
4096                    0.78
8192                    1.11
16384                   1.66
32768                   2.74
65536                   4.05
131072                  6.69
262144                 12.69
524288                 25.40
1048576                49.42
2097152               103.11
4194304               271.76
