# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.02        8015210.87
2                      15.60        7800253.07
4                      31.17        7791891.25
8                      62.80        7850043.56
16                    118.05        7378157.79
32                    248.26        7758203.00
64                    486.12        7595695.38
128                   927.90        7249241.38
256                  1712.32        6688747.90
512                  2999.19        5857795.96
1024                 5737.45        5602976.09
2048                 9031.83        4410074.65
4096                 8193.29        2000316.11
8192                13467.77        1644015.05
16384               21871.19        1334911.37
32768               28263.08         862520.69
65536               31897.44         486716.38
131072              33256.39         253726.11
262144              34553.35         131810.57
524288              36511.35          69639.87
1048576             36917.53          35207.30
2097152             37099.78          17690.55
4194304             35219.24           8396.92
